case,J,Case,value
policy,CHP_biofuel,baseline,0.0
policy,CHP_biofuel,policy,0.0
policy,CHP_coal,baseline,8.952827885207022
policy,CHP_coal,policy,6.922130350403798
policy,CHP_muniwaste,baseline,19.930689619181983
policy,CHP_muniwaste,policy,19.92269836195902
policy,CHP_natgas,baseline,2.103531993248796
policy,CHP_natgas,policy,1.3495705808362197
policy,CHP_straw,baseline,4.409380657792222
policy,CHP_straw,policy,4.076661384926992
policy,CHP_w-chip,baseline,13.416512629516392
policy,CHP_w-chip,policy,12.880842337887593
policy,CHP_w-pellet,baseline,11.695183768354507
policy,CHP_w-pellet,policy,11.019199288843781
policy,CHP_w-waste,baseline,2.3337975526287473
policy,CHP_w-waste,policy,2.332861810970746
policy,FF_solar,baseline,2.778935988813006
policy,FF_solar,policy,2.7778217678443857
policy,FF_industry,baseline,5.785681788111587
policy,FF_industry,policy,5.783362005291102
policy,HOB_biofuel,baseline,0.0
policy,HOB_biofuel,policy,0.0
policy,HOB_elec,baseline,0.0
policy,HOB_elec,policy,0.0
policy,HOB_gasoil,baseline,0.0
policy,HOB_gasoil,policy,0.0
policy,HOB_muniwaste,baseline,1.6940992422581256
policy,HOB_muniwaste,policy,1.6934199891532518
policy,HOB_natgas,baseline,0.02081479147267726
policy,HOB_natgas,policy,0.0
policy,HOB_straw,baseline,18.260138295814333
policy,HOB_straw,policy,17.980133677528592
policy,HOB_w-chip,baseline,5.32877895015185
policy,HOB_w-chip,policy,5.5420632403090435
policy,HOB_w-pellet,baseline,0.6833534756132351
policy,HOB_w-pellet,policy,0.44010842735723815
policy,HOB_w-waste,baseline,1.3448320553560482
policy,HOB_w-waste,policy,1.366224420777232
policy,HP_ambient,baseline,0.6906123836749382
policy,HP_ambient,policy,0.05965389493434299
policy,HP_industry,baseline,0.5708289228045189
policy,HP_industry,policy,0.20589827193738688
policy,HR_S-near,baseline,0.0
policy,HR_S-near,policy,0.0
policy,HR_S-far,baseline,0.0
policy,HR_S-far,policy,0.0
policy,HR_M-near,baseline,0.0
policy,HR_M-near,policy,1.1787133242699883
policy,HR_M-far,baseline,0.0
policy,HR_M-far,policy,0.0
policy,HR_L-near,baseline,0.0
policy,HR_L-near,policy,2.4438538627361974
policy,HR_L-far,baseline,0.0
policy,HR_L-far,policy,2.02478300203324
